ID_Cliente,Idade,Gênero,Renda_Anual,Frequência_Compra,Ticket_Médio,Pontuação_Fidelidade
1,56,Feminino,25895,12,136,51
2,69,Feminino,39738,2,153,81
3,46,Masculino,50746,3,77,5
4,32,Masculino,69377,12,63,29
5,60,Feminino,68404,1,192,4
6,25,Masculino,74045,1,179,10
7,38,Masculino,117888,13,192,56
8,56,Masculino,59790,3,336,17
9,36,Feminino,25600,11,322,74
10,40,Feminino,114660,5,168,17
11,28,Feminino,113179,12,99,84
12,28,Masculino,60764,3,393,88
13,41,Masculino,94543,1,232,69
14,53,Feminino,65714,1,222,34
15,57,Feminino,76835,8,271,6
16,41,Feminino,93744,10,248,53
17,20,Feminino,76491,11,183,66
18,39,Masculino,38589,12,246,77
19,19,Feminino,63484,13,166,43
20,41,Masculino,102989,13,39,75
21,61,Feminino,56212,12,460,23
22,47,Masculino,63525,14,421,55
23,55,Feminino,67202,2,66,80
24,19,Feminino,52635,13,252,95
25,38,Feminino,83208,3,324,75
26,50,Feminino,53828,2,33,16
27,29,Masculino,38711,3,162,8
28,39,Feminino,23420,7,434,4
29,61,Masculino,116752,1,20,4
30,42,Masculino,20301,10,392,56
31,66,Masculino,65236,8,73,25
32,44,Masculino,86235,13,393,67
33,59,Feminino,74240,10,278,96
34,45,Masculino,85726,10,163,67
35,33,Masculino,30492,10,490,27
36,32,Masculino,26102,14,460,93
37,64,Feminino,70336,2,478,32
38,68,Feminino,105314,3,31,50
39,61,Feminino,46641,9,349,61
40,69,Feminino,54584,7,243,51
41,20,Masculino,52745,4,291,19
42,54,Masculino,43093,10,475,21
43,68,Feminino,86105,5,377,5
44,24,Masculino,71885,2,479,82
45,38,Masculino,56631,13,427,92
46,26,Masculino,92991,11,175,42
47,56,Feminino,24014,13,392,61
48,35,Feminino,31093,8,27,22
49,21,Masculino,38070,4,141,21
50,42,Feminino,55777,9,367,70
51,31,Feminino,76958,5,183,1
52,67,Feminino,102074,13,109,5
53,26,Feminino,30729,9,155,12
54,43,Feminino,119713,4,205,90
55,19,Masculino,65017,10,335,46
56,37,Feminino,86320,5,197,34
57,45,Masculino,47751,9,47,49
58,64,Masculino,98069,8,239,78
59,24,Feminino,74748,3,376,90
60,61,Masculino,25801,1,60,45
61,25,Masculino,39190,3,247,27
62,64,Masculino,69689,4,211,73
63,52,Feminino,70993,2,430,26
64,31,Feminino,49592,1,466,47
65,34,Masculino,30647,7,164,86
66,53,Feminino,28716,8,220,56
67,67,Feminino,108891,7,436,94
68,57,Feminino,107545,14,231,63
69,21,Feminino,109912,5,480,48
70,19,Masculino,90316,12,239,61
71,23,Masculino,22368,1,259,81
72,59,Feminino,97575,7,432,26
73,21,Feminino,26655,13,416,36
74,46,Masculino,90031,7,65,1
75,35,Masculino,96429,9,54,8
76,43,Feminino,111083,3,272,99
77,61,Masculino,107922,9,409,52
78,51,Feminino,75766,14,101,79
79,27,Feminino,33403,1,390,47
80,53,Masculino,52097,1,275,56
81,31,Masculino,98657,14,216,86
82,48,Feminino,30966,4,322,14
83,65,Feminino,119157,9,428,90
84,32,Masculino,113848,6,469,28
85,25,Feminino,72921,13,29,87
86,31,Masculino,69726,11,331,78
87,40,Feminino,70300,3,305,88
88,57,Masculino,42677,1,261,2
89,38,Masculino,75609,4,270,26
90,33,Masculino,116825,12,384,14
91,62,Feminino,76661,13,24,59
92,35,Feminino,51024,9,138,56
93,64,Masculino,90313,3,308,7
94,41,Feminino,73006,12,393,3
95,43,Masculino,115285,9,84,23
96,42,Masculino,35338,7,165,18
97,62,Feminino,88027,12,243,38
98,58,Feminino,112772,14,258,99
